Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Time,Drop Time,Request Hour,Request Day,Trip Completed,Date
619,Airport,1,Trip Completed,11-07-2016 11:51,07-11-2016 13:00,11:51:00,13:00:00,11,Monday,TRUE,11-07-2016
867,Airport,1,Trip Completed,11-07-2016 17:57,07-11-2016 18:47,17:57:00,18:47:00,17,Monday,TRUE,11-07-2016
1807,City,1,Trip Completed,12-07-2016 09:17,07-12-2016 09:58,09:17:00,09:58:00,9,Tuesday,TRUE,12-07-2016
2532,Airport,1,Trip Completed,12-07-2016 21:08,07-12-2016 22:03,21:08:00,22:03:00,21,Tuesday,TRUE,12-07-2016
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,08:33:16,09:25:47,8,Wednesday,TRUE,13-07-2016
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,21:57:28,22:28:59,21,Wednesday,TRUE,13-07-2016
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,06:15:32,07:13:15,6,Thursday,TRUE,14-07-2016
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,05:11:52,06:07:52,5,Friday,TRUE,15-07-2016
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,17:57:27,18:50:51,17,Friday,TRUE,15-07-2016
267,City,2,Trip Completed,11-07-2016 06:46,07-11-2016 07:25,06:46:00,07:25:00,6,Monday,TRUE,11-07-2016
1467,Airport,2,Trip Completed,12-07-2016 05:08,07-12-2016 06:02,05:08:00,06:02:00,5,Tuesday,TRUE,12-07-2016
1983,City,2,Trip Completed,12-07-2016 12:30,07-12-2016 12:57,12:30:00,12:57:00,12,Tuesday,TRUE,12-07-2016
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,04:49:20,05:23:03,4,Wednesday,TRUE,13-07-2016
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,08:02:53,09:16:19,8,Wednesday,TRUE,13-07-2016
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,14:23:02,15:35:18,14,Wednesday,TRUE,13-07-2016
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,17:23:18,18:20:51,17,Wednesday,TRUE,13-07-2016
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,12:01:02,12:36:46,12,Thursday,TRUE,14-07-2016
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,22:24:13,23:18:52,22,Thursday,TRUE,14-07-2016
535,Airport,3,Trip Completed,11-07-2016 10:00,07-11-2016 10:31,10:00:00,10:31:00,10,Monday,TRUE,11-07-2016
960,Airport,3,Trip Completed,11-07-2016 18:45,07-11-2016 19:23,18:45:00,19:23:00,18,Monday,TRUE,11-07-2016
