Request_id,Pickup_point,Driver id,Status,Request_timestamp,Drop_timestamp,Request_date,Request_time,Drop_date,Drop_time,Request_hour,Request_day,Time_slot,Trip_completed
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,11-07-2016,11:51:00,11-07-2016,13:00:00,11,Monday,Morning,TRUE
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,11-07-2016,17:57:00,11-07-2016,18:47:00,17,Monday,Evening,TRUE
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,12-07-2016,09:17:00,12-07-2016,09:58:00,9,Tuesday,Morning,TRUE
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,12-07-2016,21:08:00,12-07-2016,22:03:00,21,Tuesday,Night,TRUE
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,13-07-2016,08:33:16,13-07-2016,09:25:47,8,Wednesday,Morning,TRUE
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,13-07-2016,21:57:28,13-07-2016,22:28:59,21,Wednesday,Night,TRUE
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,14-07-2016,06:15:32,14-07-2016,07:13:15,6,Thursday,Early Morning,TRUE
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,15-07-2016,05:11:52,15-07-2016,06:07:52,5,Friday,Early Morning,TRUE
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,15-07-2016,17:57:27,15-07-2016,18:50:51,17,Friday,Evening,TRUE
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,11-07-2016,06:46:00,11-07-2016,07:25:00,6,Monday,Early Morning,TRUE
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,12-07-2016,05:08:00,12-07-2016,06:02:00,5,Tuesday,Early Morning,TRUE
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,12-07-2016,12:30:00,12-07-2016,12:57:00,12,Tuesday,Afternoon,TRUE
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,13-07-2016,04:49:20,13-07-2016,05:23:03,4,Wednesday,Early Morning,TRUE
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,13-07-2016,08:02:53,13-07-2016,09:16:19,8,Wednesday,Morning,TRUE
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,13-07-2016,14:23:02,13-07-2016,15:35:18,14,Wednesday,Afternoon,TRUE
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,13-07-2016,17:23:18,13-07-2016,18:20:51,17,Wednesday,Evening,TRUE
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,14-07-2016,12:01:02,14-07-2016,12:36:46,12,Thursday,Afternoon,TRUE
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,14-07-2016,22:24:13,14-07-2016,23:18:52,22,Thursday,Night,TRUE
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,11-07-2016,10:00:00,11-07-2016,10:31:00,10,Monday,Morning,TRUE
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,11-07-2016,18:45:00,11-07-2016,19:23:00,18,Monday,Evening,TRUE
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,12-07-2016,11:17:00,12-07-2016,12:23:00,11,Tuesday,Morning,TRUE
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,12-07-2016,15:46:00,12-07-2016,16:40:00,15,Tuesday,Afternoon,TRUE
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,12-07-2016,18:00:00,12-07-2016,18:28:00,18,Tuesday,Evening,TRUE
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,13-07-2016,08:17:29,13-07-2016,09:22:37,8,Wednesday,Morning,TRUE
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,13-07-2016,21:54:18,13-07-2016,22:51:23,21,Wednesday,Night,TRUE
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,14-07-2016,21:23:03,14-07-2016,22:25:19,21,Thursday,Night,TRUE
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,15-07-2016,02:41:38,15-07-2016,03:24:43,2,Friday,Late Night,TRUE
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,15-07-2016,10:00:43,15-07-2016,10:53:06,10,Friday,Morning,TRUE
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,11-07-2016,13:08:00,11-07-2016,13:49:00,13,Monday,Afternoon,TRUE
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,12-07-2016,06:21:00,12-07-2016,07:10:00,6,Tuesday,Early Morning,TRUE
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,12-07-2016,09:27:00,12-07-2016,10:27:00,9,Tuesday,Morning,TRUE
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,12-07-2016,16:09:00,12-07-2016,17:01:00,16,Tuesday,Evening,TRUE
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,13-07-2016,05:34:20,13-07-2016,06:09:59,5,Wednesday,Early Morning,TRUE
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,13-07-2016,19:57:59,13-07-2016,20:32:04,19,Wednesday,Evening,TRUE
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,14-07-2016,02:17:35,14-07-2016,03:21:38,2,Thursday,Late Night,TRUE
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,14-07-2016,13:01:10,14-07-2016,13:45:28,13,Thursday,Afternoon,TRUE
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,15-07-2016,08:30:06,15-07-2016,09:37:20,8,Friday,Morning,TRUE
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,15-07-2016,15:01:20,15-07-2016,15:47:31,15,Friday,Afternoon,TRUE
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,11-07-2016,07:27:00,11-07-2016,08:31:00,7,Monday,Early Morning,TRUE
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,11-07-2016,11:03:00,11-07-2016,12:01:00,11,Monday,Morning,TRUE
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,11-07-2016,20:58:00,11-07-2016,21:45:00,20,Monday,Night,TRUE
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,12-07-2016,08:40:00,12-07-2016,09:23:00,8,Tuesday,Morning,TRUE
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,12-07-2016,14:48:00,12-07-2016,15:50:00,14,Tuesday,Afternoon,TRUE
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,12-07-2016,21:32:00,12-07-2016,22:29:00,21,Tuesday,Night,TRUE
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,13-07-2016,07:28:14,13-07-2016,08:29:47,7,Wednesday,Early Morning,TRUE
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,13-07-2016,12:14:27,13-07-2016,12:46:38,12,Wednesday,Afternoon,TRUE
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,14-07-2016,06:43:01,14-07-2016,07:49:38,6,Thursday,Early Morning,TRUE
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,15-07-2016,09:08:50,15-07-2016,10:07:07,9,Friday,Morning,TRUE
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,15-07-2016,22:41:41,15-07-2016,23:51:00,22,Friday,Night,TRUE
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,12-07-2016,05:45:00,12-07-2016,06:28:00,5,Tuesday,Early Morning,TRUE
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,12-07-2016,13:02:00,12-07-2016,13:51:00,13,Tuesday,Afternoon,TRUE
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,13-07-2016,06:50:33,13-07-2016,07:40:35,6,Wednesday,Early Morning,TRUE
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,13-07-2016,21:53:03,13-07-2016,22:45:24,21,Wednesday,Night,TRUE
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,14-07-2016,02:37:14,14-07-2016,03:30:27,2,Thursday,Late Night,TRUE
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,14-07-2016,14:50:07,14-07-2016,15:38:14,14,Thursday,Afternoon,TRUE
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,14-07-2016,21:33:55,14-07-2016,22:25:43,21,Thursday,Night,TRUE
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,15-07-2016,00:03:39,15-07-2016,01:07:39,0,Friday,Late Night,TRUE
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,15-07-2016,07:52:51,15-07-2016,08:38:55,7,Friday,Early Morning,TRUE
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,15-07-2016,14:28:50,15-07-2016,15:33:53,14,Friday,Afternoon,TRUE
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,11-07-2016,19:31:00,11-07-2016,20:41:00,19,Monday,Evening,TRUE
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,11-07-2016,22:07:00,11-07-2016,23:12:00,22,Monday,Night,TRUE
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,12-07-2016,20:39:00,12-07-2016,21:28:00,20,Tuesday,Night,TRUE
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,14-07-2016,03:39:38,14-07-2016,04:39:04,3,Thursday,Late Night,TRUE
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,14-07-2016,09:11:13,14-07-2016,10:17:01,9,Thursday,Morning,TRUE
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,14-07-2016,18:52:32,14-07-2016,19:50:57,18,Thursday,Evening,TRUE
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,15-07-2016,09:50:28,15-07-2016,10:40:39,9,Friday,Morning,TRUE
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,15-07-2016,15:50:15,15-07-2016,16:36:56,15,Friday,Afternoon,TRUE
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,11-07-2016,08:18:00,11-07-2016,09:18:00,8,Monday,Morning,TRUE
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,11-07-2016,19:39:00,11-07-2016,20:30:00,19,Monday,Evening,TRUE
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,12-07-2016,08:57:00,12-07-2016,09:24:00,8,Tuesday,Morning,TRUE
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,12-07-2016,21:05:00,12-07-2016,22:20:00,21,Tuesday,Night,TRUE
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,13-07-2016,10:22:07,13-07-2016,11:07:02,10,Wednesday,Morning,TRUE
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,14-07-2016,11:55:10,14-07-2016,12:59:34,11,Thursday,Morning,TRUE
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,11-07-2016,09:08:00,11-07-2016,09:52:00,9,Monday,Morning,TRUE
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,11-07-2016,17:46:00,11-07-2016,18:52:00,17,Monday,Evening,TRUE
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,11-07-2016,23:39:00,12-07-2016,00:23:00,23,Monday,Night,TRUE
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,12-07-2016,05:13:00,12-07-2016,05:56:00,5,Tuesday,Early Morning,TRUE
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,12-07-2016,18:20:00,12-07-2016,18:54:00,18,Tuesday,Evening,TRUE
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,13-07-2016,08:04:57,13-07-2016,08:36:37,8,Wednesday,Morning,TRUE
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,13-07-2016,17:03:30,13-07-2016,17:31:49,17,Wednesday,Evening,TRUE
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,13-07-2016,20:41:24,13-07-2016,21:27:29,20,Wednesday,Night,TRUE
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,13-07-2016,23:58:41,14-07-2016,00:58:39,23,Wednesday,Night,TRUE
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,14-07-2016,04:21:42,14-07-2016,05:07:07,4,Thursday,Early Morning,TRUE
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,14-07-2016,17:58:46,14-07-2016,19:02:42,17,Thursday,Evening,TRUE
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,15-07-2016,05:47:49,15-07-2016,06:25:49,5,Friday,Early Morning,TRUE
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,15-07-2016,11:51:16,15-07-2016,12:32:12,11,Friday,Morning,TRUE
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,12-07-2016,09:13:00,12-07-2016,10:01:00,9,Tuesday,Morning,TRUE
